task_id,system_type,model,error,rater_a_correctness,rater_a_completeness,rater_a_traceability_usefulness,rater_a_governance_adequacy,rater_a_hallucination_risk,rater_a_rubric_total,rater_a_parse_ok,rater_a_slot_nonempty,rater_b_correctness,rater_b_completeness,rater_b_traceability_usefulness,rater_b_governance_adequacy,rater_b_hallucination_risk,rater_b_rubric_total,rater_b_parse_ok,rater_b_slot_nonempty,correctness,completeness,traceability_usefulness,governance_adequacy,hallucination_risk,rubric_total
LIB-03,library help assistant,qwen2.5-coder:3b__no_schema,,2,2,0,1,0,5,1,6,2,2,0,1,0,5,1,6,2.0,2.0,0.0,1.0,0.0,5.0
TRAVEL-01,corporate travel assistant,qwen2.5-coder:3b__no_schema,,2,2,0,1,1,6,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,1.5,1.5,7.0
TRAVEL-02,corporate travel assistant,qwen2.5-coder:3b__no_schema,,2,1,0,1,2,6,1,5,2,1,0,1,2,6,1,5,2.0,1.0,0.0,1.0,2.0,6.0
TRAVEL-03,corporate travel assistant,qwen2.5-coder:3b__no_schema,,2,2,0,2,1,7,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,2.0,1.0,7.0
GRANT-01,research grant assistant,qwen2.5-coder:3b__no_schema,,2,2,0,2,2,8,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,2.0,2.0,8.0
GRANT-02,research grant assistant,qwen2.5-coder:3b__no_schema,,2,1,0,1,1,5,1,5,2,1,0,1,1,5,1,5,2.0,1.0,0.0,1.0,1.0,5.0
GRANT-03,research grant assistant,qwen2.5-coder:3b__no_schema,,2,2,0,2,1,7,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,2.0,1.0,7.0
ACCESS-01,access control assistant,qwen2.5-coder:3b__no_schema,,2,2,0,2,2,8,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,2.0,2.0,8.0
ACCESS-02,access control assistant,qwen2.5-coder:3b__no_schema,,2,2,0,1,2,7,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,2.0,7.0
ACCESS-03,access control assistant,qwen2.5-coder:3b__no_schema,,2,2,0,1,0,5,1,6,2,2,0,1,0,5,1,6,2.0,2.0,0.0,1.0,0.0,5.0
