task_id,system_type,model,error,rater_a_correctness,rater_a_completeness,rater_a_traceability_usefulness,rater_a_governance_adequacy,rater_a_hallucination_risk,rater_a_rubric_total,rater_a_parse_ok,rater_a_slot_nonempty,rater_b_correctness,rater_b_completeness,rater_b_traceability_usefulness,rater_b_governance_adequacy,rater_b_hallucination_risk,rater_b_rubric_total,rater_b_parse_ok,rater_b_slot_nonempty,correctness,completeness,traceability_usefulness,governance_adequacy,hallucination_risk,rubric_total
LEGAL-01,legal information assistant,qwen2.5-coder:3b__schema,,2,2,1,1,2,8,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,1.5,2.0,8.5
LEGAL-02,legal information assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,1.5,1.5,8.0
LEGAL-03,legal information assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,1,1,7,1,6,2.0,2.0,1.0,1.0,1.0,7.0
FIN-01,financial education assistant,qwen2.5-coder:3b__schema,,2,2,0,1,2,7,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,1.5,2.0,7.5
FIN-02,financial education assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,1,2,8,1,6,2.0,2.0,1.0,1.0,1.5,7.5
FIN-03,financial education assistant,qwen2.5-coder:3b__schema,,2,2,0,2,1,7,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,2.0,1.0,7.0
PROC-01,procurement assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,1.5,6.5
PROC-02,procurement assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,1.5,6.5
PROC-03,procurement assistant,qwen2.5-coder:3b__schema,,2,2,0,1,0,5,1,6,2,2,0,1,0,5,1,6,2.0,2.0,0.0,1.0,0.0,5.0
DATA-01,data analysis assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,1.5,6.5
DATA-02,data analysis assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,1.5,1.5,7.0
DATA-03,data analysis assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,1.5,1.0,6.5
SEC-01,security operations assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,1.5,1.5,7.0
SEC-02,security operations assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,1.5,1.5,7.0
SEC-03,security operations assistant,qwen2.5-coder:3b__schema,,2,2,0,2,0,6,1,6,2,2,0,2,0,6,1,6,2.0,2.0,0.0,2.0,0.0,6.0
TEACH-01,AI teaching feedback assistant,qwen2.5-coder:3b__schema,,2,2,0,1,2,7,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,1.5,2.0,7.5
TEACH-02,AI teaching feedback assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,1,2,8,1,6,2.0,2.0,1.0,1.0,1.5,7.5
TEACH-03,AI teaching feedback assistant,qwen2.5-coder:3b__schema,,2,2,0,2,1,7,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,2.0,1.0,7.0
RES-01,research literature assistant,qwen2.5-coder:3b__schema,,2,2,0,2,2,8,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,2.0,2.0,8.0
RES-02,research literature assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,1,2,8,1,6,2.0,2.0,1.0,1.0,1.5,7.5
RES-03,research literature assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,1,6,1,6,2.0,2.0,0.0,1.0,1.0,6.0
DEVOPS-01,DevOps incident assistant,qwen2.5-coder:3b__schema,,2,2,0,2,1,7,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,2.0,1.5,7.5
DEVOPS-02,DevOps incident assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,1.5,6.5
DEVOPS-03,DevOps incident assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,1.5,1.0,6.5
PRIV-01,privacy compliance assistant,qwen2.5-coder:3b__schema,,2,2,0,1,2,7,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,2.0,7.0
PRIV-02,privacy compliance assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,1.5,1.5,7.0
PRIV-03,privacy compliance assistant,qwen2.5-coder:3b__schema,,2,2,0,1,0,5,1,6,2,2,0,1,0,5,1,6,2.0,2.0,0.0,1.0,0.0,5.0
TICKET-01,IT ticket triage assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,1.5,1.5,7.0
TICKET-02,IT ticket triage assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,1,2,8,1,6,2.0,2.0,1.0,1.0,1.5,7.5
TICKET-03,IT ticket triage assistant,qwen2.5-coder:3b__schema,,2,2,1,1,0,6,1,6,2,2,1,1,0,6,1,6,2.0,2.0,1.0,1.0,0.0,6.0
MEET-01,meeting summarization assistant,qwen2.5-coder:3b__schema,,2,2,0,2,2,8,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,2.0,2.0,8.0
MEET-02,meeting summarization assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,2,1,8,1,6,2.0,2.0,1.0,1.5,1.0,7.5
MEET-03,meeting summarization assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,1,6,1,6,2.0,2.0,0.0,1.0,1.0,6.0
LIB-01,library help assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,1,2,8,1,6,2.0,2.0,1.0,1.0,1.5,7.5
LIB-02,library help assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,1.5,1.5,8.0
LIB-03,library help assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,1,6,1,6,2.0,2.0,0.0,1.0,1.0,6.0
TRAVEL-01,corporate travel assistant,qwen2.5-coder:3b__schema,,2,2,0,2,1,7,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,2.0,1.5,7.5
TRAVEL-02,corporate travel assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,1.5,6.5
TRAVEL-03,corporate travel assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,1,6,1,6,2.0,2.0,0.0,1.0,1.0,6.0
GRANT-01,research grant assistant,qwen2.5-coder:3b__schema,,2,2,1,2,2,9,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,2.0,2.0,9.0
GRANT-02,research grant assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,1,2,8,1,6,2.0,2.0,1.0,1.0,1.5,7.5
GRANT-03,research grant assistant,qwen2.5-coder:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,1.5,1.0,6.5
ACCESS-01,access control assistant,qwen2.5-coder:3b__schema,,2,2,0,2,2,8,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,2.0,2.0,8.0
ACCESS-02,access control assistant,qwen2.5-coder:3b__schema,,2,2,1,1,1,7,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,1.5,1.5,8.0
ACCESS-03,access control assistant,qwen2.5-coder:3b__schema,,2,2,0,2,1,7,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,2.0,1.0,7.0
