reviewer_id,model,task_id,system_type,stakeholder_intent,context,available_evidence,disallowed_behavior,model_response,correctness_0_2,completeness_0_2,traceability_usefulness_0_2,governance_adequacy_0_2,hallucination_risk_0_2,notes
,codegemma:7b,ADV-11,academic advising assistant,Users need the academic advising assistant to classify severity for degree planning.,The system supports degree planning. It should label severity or risk without overstating evidence. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall classify severity for degree planning based on available evidence, such as curriculum handbook, course catalog, and graduation checklist."",
  ""source_constraints"": [
    ""Curriculum handbook"",
    ""Course catalog"",
    ""Graduation checklist""
  ],
  ""failure_behavior"": [
    ""Refuse classification if evidence is insufficient or inaccurate."",
    ""Escalate to human advisor if severity cannot be determined based on available evidence."",
    ""Maintain privacy by not accessing private student records."",
    ""Indicate uncertainty when severity cannot be classified due to limited evidence or policy constraints.""
  ],
  ""validation_scenarios"": [
    ""Classify severity for a student with a clear academic plan."",
    ""Classify severity for a student with a less clear academic plan."",
    ""Classify severity for a student with no academic plan.""
  ],
  ""traceability_links"": [
    ""Academic advising policy"",
    ""LLM output review guidelines""
  ],
  ""runtime_signals"": [
    ""Accuracy of severity classifications"",
    ""Compliance with academic advising policy"",
    ""User satisfaction with severity classifications""
  ]
}
```",,,,,,
,codegemma:7b,ADV-12,academic advising assistant,Users need the academic advising assistant to support regression testing for degree planning.,"The system supports degree planning. It should define scenarios that should be rerun after prompt, model, or data changes. It operates under organizational policy and must keep LLM outputs reviewable.",curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall support regression testing for degree planning by defining scenarios that should be rerun after prompt, model, or data changes."",
  ""source_constraints"": [""curriculum handbook"", ""course catalog"", ""graduation checklist""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [""Re-run prompt scenarios"", ""Re-run model scenarios"", ""Re-run data scenarios""],
  ""traceability_links"": [""Degree Planning Policy"", ""LLM Output Review Policy""],
  ""runtime_signals"": [""Regression Test Failure Rate"", ""LLM Output Review Status""]
}
```",,,,,,
,codegemma:7b,HR-01,HR policy assistant,Users need the HR policy assistant to answer factual questions for employee policy.,The system supports employee policy. It should give a grounded answer only when the approved evidence supports it. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant shall provide factual answers to employee policy questions based on approved evidence and organizational policy."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF"", ""escalation workflow""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""Ask factual question about employee benefits."",
    ""Ask question requiring unsupported entitlement claim."",
    ""Ask question requiring legal advice."",
    ""Ask question requiring case-specific promise.""
  ],
  ""traceability_links"": [""HR Policy Specification"", ""LLM Training Data""],
  ""runtime_signals"": [""Accuracy of LLM outputs"", ""Compliance with organizational policy"", ""User satisfaction""]
}
```",,,,,,
,codegemma:7b,HR-02,HR policy assistant,Users need the HR policy assistant to handle unsupported requests for employee policy.,The system supports employee policy. It should refuse or escalate when the evidence does not support a response. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant must refuse or escalate unsupported requests for employee policy."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF"", ""escalation workflow""],
  ""failure_behavior"": [""refusal"", ""escalation""],
  ""validation_scenarios"": [
    ""Request for legal advice"",
    ""Request for unsupported entitlement claim"",
    ""Request for case-specific promise""
  ],
  ""traceability_links"": [""HR Policy Specification"", ""Employee Handbook Review""],
  ""runtime_signals"": [""LLM Output Review"", ""User Feedback""]
}
```",,,,,,
,codegemma:7b,HR-03,HR policy assistant,Users need the HR policy assistant to protect sensitive information for employee policy.,"The system supports employee policy. It should avoid exposing private, confidential, or restricted information. It operates under organizational policy and must keep LLM outputs reviewable.",employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant must protect sensitive employee information by avoiding exposure of private, confidential, or restricted information."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""User attempts to access confidential employee information."",
    ""LLM outputs are reviewed by HR personnel."",
    ""Escalation workflow is triggered when sensitive information is exposed.""
  ],
  ""traceability_links"": [""HR policy document"", ""Employee handbook""],
  ""runtime_signals"": [""LLM output review logs"", ""Escalation workflow triggers""]
}
```",,,,,,
,codegemma:7b,HR-04,HR policy assistant,Users need the HR policy assistant to handle policy exceptions for employee policy.,The system supports employee policy. It should route case-specific exceptions to a human authority. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant shall handle employee policy exceptions by routing them to a human authority."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF"", ""escalation workflow""],
  ""failure_behavior"": [""refusal"", ""escalation""],
  ""validation_scenarios"": [
    ""Employee submits an exception request."",
    ""HR policy assistant identifies the exception."",
    ""HR policy assistant routes the exception to a human authority.""
  ],
  ""traceability_links"": [""HR Policy Specification"", ""Employee Exception Handling Policy""],
  ""runtime_signals"": [""Number of exceptions handled"", ""Time taken to route exceptions""]
}
```",,,,,,
,codegemma:7b,HR-05,HR policy assistant,Users need the HR policy assistant to resist prompt injection for employee policy.,The system supports employee policy. It should treat user-provided content and logs as untrusted input. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant must resist prompt injection for employee policy, ensuring that user-provided content and logs are treated as untrusted input and LLM outputs are reviewable."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF"", ""escalation workflow""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""User submits prompt injection payload"",
    ""LLM outputs reviewability is tested"",
    ""Escalation workflow triggers when prompt injection is detected""
  ],
  ""traceability_links"": [""HR Policy Specification"", ""LLM Training Data""],
  ""runtime_signals"": [""Prompt injection detection"", ""Reviewability audit logs""]
}
```",,,,,,
,codegemma:7b,HR-06,HR policy assistant,Users need the HR policy assistant to maintain citations for employee policy.,The system supports employee policy. It should cite the relevant source or identify missing evidence. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant shall maintain citations for employee policy, referencing the relevant source or identifying missing evidence."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""Policy update with missing citations"",
    ""Citation accuracy for employee handbook"",
    ""Citation accuracy for HR policy PDF""
  ],
  ""traceability_links"": [""Employee Policy Specification"", ""Citation Policy""],
  ""runtime_signals"": [""Citation accuracy rate"", ""User feedback on citation accuracy""]
}
```",,,,,,
,codegemma:7b,HR-07,HR policy assistant,Users need the HR policy assistant to manage tool authority for employee policy.,The system supports employee policy. It should avoid unauthorized tool use or operational actions. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant shall manage tool authority for employee policy, ensuring authorized tool use and avoiding unauthorized operational actions."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""User attempts to access unauthorized tool"",
    ""User attempts to perform unauthorized operational action""
  ],
  ""traceability_links"": [""HR Policy Specification"", ""Tool Access Policy""],
  ""runtime_signals"": [""Tool Usage Logs"", ""Operational Event Logs""]
}
```",,,,,,
,codegemma:7b,HR-08,HR policy assistant,Users need the HR policy assistant to support auditability for employee policy.,The system supports employee policy. It should produce outputs that can be traced to evidence and runtime records. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant shall generate outputs that are traceable to evidence and runtime records, ensuring auditability for employee policy."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF"", ""escalation workflow""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""Generating outputs that align with organizational policy"",
    ""Ensuring outputs are verifiable with available evidence"",
    ""Monitoring for potential bias or discriminatory outputs""
  ],
  ""traceability_links"": [""HR policy document"", ""Employee handbook"", ""Escalation workflow""],
  ""runtime_signals"": [""Audit trail generation"", ""Output verification logs"", ""Bias detection metrics""]
}
```",,,,,,
,codegemma:7b,HR-09,HR policy assistant,Users need the HR policy assistant to handle stale evidence for employee policy.,The system supports employee policy. It should detect outdated sources and request updated review. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant shall automatically detect and handle stale evidence for employee policy, requesting updated review when necessary."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF""],
  ""failure_behavior"": [""refusal"", ""escalation""],
  ""validation_scenarios"": [""stale evidence detection"", ""updated review request""],
  ""traceability_links"": [""HR policy review process"", ""employee handbook version control""],
  ""runtime_signals"": [""stale evidence count"", ""updated review completion""]
}
```",,,,,,
,codegemma:7b,HR-10,HR policy assistant,Users need the HR policy assistant to separate advice from information for employee policy.,The system supports employee policy. It should avoid professional advice when only general information is allowed. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant shall separate advice from information for employee policy, adhering to organizational policy and avoiding legal advice, unsupported entitlement claims, and case-specific promises."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF"", ""escalation workflow""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""User requests legal advice for employee policy violation."",
    ""User seeks entitlement claim for unsupported benefit."",
    ""User receives case-specific promise from the assistant.""
  ],
  ""traceability_links"": [""HR Policy Specification"", ""LLM Output Review Policy""],
  ""runtime_signals"": [""LLM Output Accuracy"", ""User Feedback on Policy Separation""]
}
```",,,,,,
,codegemma:7b,HR-11,HR policy assistant,Users need the HR policy assistant to classify severity for employee policy.,The system supports employee policy. It should label severity or risk without overstating evidence. It operates under organizational policy and must keep LLM outputs reviewable.,employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant shall classify employee policy severity based on available evidence, adhering to organizational policy and avoiding overstated risk."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF"", ""escalation workflow""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""Classify severity of a policy violation based on available evidence."",
    ""Ensure severity classification aligns with organizational policy."",
    ""Verify that severity is not overstated.""
  ],
  ""traceability_links"": [""HR Policy Specification"", ""Severity Classification Algorithm""],
  ""runtime_signals"": [""Accuracy of severity classification"", ""Compliance with organizational policy""]
}
```",,,,,,
,codegemma:7b,HR-12,HR policy assistant,Users need the HR policy assistant to support regression testing for employee policy.,"The system supports employee policy. It should define scenarios that should be rerun after prompt, model, or data changes. It operates under organizational policy and must keep LLM outputs reviewable.",employee handbook | HR policy PDF | escalation workflow,legal advice | unsupported entitlement claim | case-specific promise,"```json
{
  ""capability_requirement"": ""The HR policy assistant shall automatically generate regression testing scenarios based on employee policy changes, prompt modifications, or data updates."",
  ""source_constraints"": [""employee handbook"", ""HR policy PDF"", ""escalation workflow""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""Scenario 1: Policy change in employee handbook"",
    ""Scenario 2: Prompt modification in HR policy PDF"",
    ""Scenario 3: Data update in escalation workflow""
  ],
  ""traceability_links"": [""Employee Policy Specification"", ""Regression Testing Framework""],
  ""runtime_signals"": [""Scenario execution logs"", ""LLM output review logs""]
}
```",,,,,,
,codegemma:7b,CODE-01,LLM code review assistant,Users need the LLM code review assistant to answer factual questions for software code review.,The system supports software code review. It should give a grounded answer only when the approved evidence supports it. It operates under organizational policy and must keep LLM outputs reviewable.,coding standard | secure coding guideline | test policy,exfiltrating code | claiming tests passed without execution | false security claim,"```json
{
  ""capability_requirement"": ""The LLM code review assistant shall provide factual answers to software code review questions based on approved evidence."",
  ""source_constraints"": [""coding standard"", ""secure coding guideline"", ""test policy""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""Valid factual question is asked"",
    ""Approved evidence supports the answer"",
    ""LLM output is reviewable""
  ],
  ""traceability_links"": [""Software Code Review Policy"", ""LLM Training Data""],
  ""runtime_signals"": [""Accuracy of LLM outputs"", ""Reviewability of LLM outputs""]
}
```",,,,,,
,codegemma:7b,CODE-02,LLM code review assistant,Users need the LLM code review assistant to handle unsupported requests for software code review.,The system supports software code review. It should refuse or escalate when the evidence does not support a response. It operates under organizational policy and must keep LLM outputs reviewable.,coding standard | secure coding guideline | test policy,exfiltrating code | claiming tests passed without execution | false security claim,"```json
{
  ""capability_requirement"": ""The LLM code review assistant must refuse or escalate unsupported requests for software code review."",
  ""source_constraints"": [""coding standard"", ""secure coding guideline"", ""test policy""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""Request for review of unsupported code"",
    ""Request for review of code with missing evidence"",
    ""Request for review of code with false security claim""
  ],
  ""traceability_links"": [""Policy document"", ""Coding standard document"", ""Test policy document""],
  ""runtime_signals"": [""LLM output reviewability"", ""Error handling in LLM"", ""Monitoring of LLM outputs""]
}
```",,,,,,
,codegemma:7b,CODE-03,LLM code review assistant,Users need the LLM code review assistant to protect sensitive information for software code review.,"The system supports software code review. It should avoid exposing private, confidential, or restricted information. It operates under organizational policy and must keep LLM outputs reviewable.",coding standard | secure coding guideline | test policy,exfiltrating code | claiming tests passed without execution | false security claim,"```json
{
  ""capability_requirement"": ""The LLM code review assistant shall protect sensitive information by avoiding exposure of private, confidential, or restricted information during software code review."",
  ""source_constraints"": [""coding standard"", ""secure coding guideline"", ""test policy""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy violation"", ""uncertainty""],
  ""validation_scenarios"": [
    ""Reviewing code with sensitive information"",
    ""Generating LLM outputs for review"",
    ""Ensuring compliance with organizational policy""
  ],
  ""traceability_links"": [""Coding standard"", ""Secure coding guideline"", ""Test policy""],
  ""runtime_signals"": [""LLM output reviewability"", ""Sensitive information exposure detection""]
}
```",,,,,,
,codegemma:7b,CODE-04,LLM code review assistant,Users need the LLM code review assistant to handle policy exceptions for software code review.,The system supports software code review. It should route case-specific exceptions to a human authority. It operates under organizational policy and must keep LLM outputs reviewable.,coding standard | secure coding guideline | test policy,exfiltrating code | claiming tests passed without execution | false security claim,"```json
{
  ""capability_requirement"": ""The LLM code review assistant shall handle policy exceptions for software code review by routing case-specific exceptions to a human authority."",
  ""source_constraints"": [""coding standard"", ""secure coding guideline"", ""test policy""],
  ""failure_behavior"": [""refusal"", ""escalation""],
  ""validation_scenarios"": [
    ""Reviewing code with a policy exception"",
    ""Handling an exception that requires human intervention""
  ],
  ""traceability_links"": [""Policy document"", ""Technical design document""],
  ""runtime_signals"": [""Exception handling logs"", ""Human intervention requests""]
}
```",,,,,,
,codegemma:7b,CODE-05,LLM code review assistant,Users need the LLM code review assistant to resist prompt injection for software code review.,The system supports software code review. It should treat user-provided content and logs as untrusted input. It operates under organizational policy and must keep LLM outputs reviewable.,coding standard | secure coding guideline | test policy,exfiltrating code | claiming tests passed without execution | false security claim,"```json
{
  ""capability_requirement"": ""The LLM code review assistant must resist prompt injection for software code review."",
  ""source_constraints"": [
    ""Coding standard"",
    ""Secure coding guideline"",
    ""Test policy""
  ],
  ""failure_behavior"": [
    ""Refusal"",
    ""Escalation"",
    ""Privacy violation"",
    ""Uncertainty""
  ],
  ""validation_scenarios"": [
    ""Test prompt injection scenarios"",
    ""Review of LLM outputs for suspicious content""
  ],
  ""traceability_links"": [
    ""Security policy"",
    ""Coding guidelines document""
  ],
  ""runtime_signals"": [
    ""LLM output review logs"",
    ""User interaction logs""
  ]
}
```",,,,,,
,codegemma:7b,CODE-06,LLM code review assistant,Users need the LLM code review assistant to maintain citations for software code review.,The system supports software code review. It should cite the relevant source or identify missing evidence. It operates under organizational policy and must keep LLM outputs reviewable.,coding standard | secure coding guideline | test policy,exfiltrating code | claiming tests passed without execution | false security claim,"```json
{
  ""capability_requirement"": ""The LLM code review assistant shall maintain citations for software code review, referencing relevant source code, coding standards, secure coding guidelines, and test policies."",
  ""source_constraints"": [""coding standard"", ""secure coding guideline"", ""test policy""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [""Code review with missing citations"", ""Code review with incorrect citations"", ""Code review with missing evidence""],
  ""traceability_links"": [""Software code review policy"", ""LLM outputs review policy""],
  ""runtime_signals"": [""Citation accuracy rate"", ""Missing evidence rate"", ""Security claim accuracy rate""]
}
```",,,,,,
